class,count
/m/04yx4,1418594
/m/03bt1vf,767337
/m/0k4j,248075
/m/05r655,197155
/m/01mzpv,132483
/m/01bl7v,87555
/m/04bcr3,85691
/m/04dr76w,40188
/m/0199g,40161
/m/0bt9lr,28675
/m/0hg7b,27272
/m/0342h,25896
/m/026t6,24818
/m/01yrx,15183
/m/04_sv,13382
/m/03k3r,13368
/m/09tvcd,12934
/m/01y9k5,11693
/m/01599,9565
/m/0h2r6,7720
/m/0cvnqh,7229
/m/0dv5r,6404
/m/050k8,6365
/m/02p5f1q,5327
/m/078n6m,5314
/m/01226z,5097
/m/0pg52,4199
/m/03ssj5,3563
/m/071p9,3505
/m/0bwd_0j,3272
/m/08pbxl,3026
/m/07y_7,2828
/m/019w40,2594
/m/080hkjn,2495
/m/02jvh9,2272
/m/0cmx8,1709
/m/0dt3t,1687
/m/02hj4,1532
/m/03m3pdh,1501
/m/078jl,1378
/m/05r5c,1374
/m/01940j,1216
/m/0h8my_4,985
/m/06__v,944
/m/04ctx,850
/m/05_5p_0,849
/m/029bxz,637
/m/01s55n,630
/m/01_5g,617
/m/03qrc,546
/m/05ctyq,502
/m/0fx9l,485
/m/0l14j_,362
/m/01f91_,294
/m/0wdt60w,294
/m/0dv9c,281
/m/0584n8,162
